state,candidate_name,poll_pct,result_pct,bias,Electors
Maryland,Joseph R. Biden Jr.,63.06125,65.360665,2.299414999999996,10
Massachusetts,Donald Trump,28.86275,32.141911,3.279161000000002,11
Massachusetts,Joseph R. Biden Jr.,64.62505,65.600063,0.9750130000000041,11
Michigan,Donald Trump,43.23326,47.837291,4.604030999999999,16
Michigan,Joseph R. Biden Jr.,51.15482,50.620818,-0.534002000000001,16
Minnesota,Donald Trump,42.66826,45.284942,2.6166820000000044,10
Minnesota,Joseph R. Biden Jr.,51.84517,52.395099,0.5499289999999988,10
Mississippi,Donald Trump,55.54909,57.602955,2.053865000000002,6
Mississippi,Joseph R. Biden Jr.,39.62017,41.057606,1.4374359999999982,6
Missouri,Donald Trump,51.6131,56.799656,5.186555999999996,10
Missouri,Joseph R. Biden Jr.,43.60732,41.408782,-2.198537999999999,10
Montana,Donald Trump,49.78661,56.918658,7.1320479999999975,3
Montana,Joseph R. Biden Jr.,45.36695,40.549504,-4.817446000000004,3
Nebraska,Donald Trump,52.14922,58.224163,6.0749429999999975,5
Nebraska,Joseph R. Biden Jr.,42.49041,39.166631,-3.3237789999999947,5
Nevada,Donald Trump,44.36094,47.666247,3.305306999999999,6
Nevada,Joseph R. Biden Jr.,49.65657,50.056782,0.40021199999999624,6
New Hampshire,Donald Trump,42.82938,45.35571,2.5263300000000015,4
New Hampshire,Joseph R. Biden Jr.,53.91761,52.708306,-1.209304000000003,4
New Jersey,Donald Trump,37.93076,41.396524,3.465764,14
New Jersey,Joseph R. Biden Jr.,58.36068,57.334197,-1.026482999999999,14
New Mexico,Donald Trump,42.12344,43.496669,1.373228999999995,5
New Mexico,Joseph R. Biden Jr.,53.85709,54.289286,0.4321959999999976,5
New York,Donald Trump,32.91538,31.499915,-1.4154649999999975,29
New York,Joseph R. Biden Jr.,62.33197,52.542479,-9.789490999999998,29
North Carolina,Donald Trump,47.12252,49.934351,2.811830999999998,15
North Carolina,Joseph R. Biden Jr.,48.90359,48.586194,-0.31739600000000223,15
North Dakota,Donald Trump,56.03613,65.114049,9.077918999999994,3
North Dakota,Joseph R. Biden Jr.,38.72194,31.756762,-6.965177999999998,3
Ohio,Donald Trump,47.52678,53.2713,5.744519999999994,18
Ohio,Joseph R. Biden Jr.,46.77164,45.239338,-1.5323020000000014,18
Oklahoma,Donald Trump,59.18334,65.373272,6.189931999999999,7
Oklahoma,Joseph R. Biden Jr.,36.2229,32.286174,-3.936726,7
Oregon,Donald Trump,37.43216,40.367246,2.9350859999999983,7
Oregon,Joseph R. Biden Jr.,58.70422,56.453319,-2.250900999999999,7
Pennsylvania,Donald Trump,45.55034,48.843612,3.2932720000000018,20
Pennsylvania,Joseph R. Biden Jr.,50.20422,50.008496,-0.19572399999999845,20
Rhode Island,Donald Trump,32.36397,38.613095,6.249124999999999,4
Rhode Island,Joseph R. Biden Jr.,62.92922,59.388091,-3.541128999999998,4
South Carolina,Donald Trump,51.58993,55.110294,3.5203640000000007,9
South Carolina,Joseph R. Biden Jr.,44.50759,43.430088,-1.0775020000000026,9
South Dakota,Donald Trump,54.48644,61.76939,7.28295,3
South Dakota,Joseph R. Biden Jr.,39.04246,35.605252,-3.4372079999999983,3
Tennessee,Donald Trump,55.11703,60.660294,5.543264000000001,11
Tennessee,Joseph R. Biden Jr.,41.42402,37.451434,-3.9725859999999997,11
Texas,Donald Trump,48.58794,52.057604,3.4696639999999945,38
Texas,Joseph R. Biden Jr.,47.44781,46.47901,-0.9687999999999946,38
Utah,Donald Trump,51.91983,58.129839,6.2100089999999994,6
Utah,Joseph R. Biden Jr.,42.07491,37.646049,-4.428861000000005,6
Vermont,Donald Trump,27.77067,30.673765,2.9030950000000004,3
Vermont,Joseph R. Biden Jr.,66.51556,66.086417,-0.4291429999999963,3
Virginia,Donald Trump,41.90127,43.995504,2.094234,13
Virginia,Joseph R. Biden Jr.,53.72101,54.109517,0.38850699999999705,13
Washington,Donald Trump,36.44392,38.766978,2.323058000000003,12
Washington,Joseph R. Biden Jr.,59.39408,57.970301,-1.4237790000000032,12
West Virginia,Donald Trump,62.13716,68.62827,6.491109999999999,5
West Virginia,Joseph R. Biden Jr.,33.51517,29.695101,-3.8200689999999966,5
Wisconsin,Donald Trump,43.70826,48.822437,5.114176999999998,10
Wisconsin,Joseph R. Biden Jr.,52.09584,49.449537,-2.646303000000003,10
Wyoming,Donald Trump,62.31048,69.936227,7.625747000000004,3
Wyoming,Joseph R. Biden Jr.,30.82599,26.553574,-4.272416,3
